Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category,Planned_Time,Actual_Run_Time,Downtime
J001,M01,Grinding,3.17,91.2,11.42,76.8,18-03-2023 08:00,18-03-2023 09:16,18-03-2023 08:05,18-03-2023 09:21,Completed,Moderate Efficiency,76,76,0
J002,M01,Grinding,3.35,94.8,6.61,67.2,18-03-2023 08:10,18-03-2023 09:29,18-03-2023 08:20,18-03-2023 09:39,Delayed,Low Efficiency,79,79,0
J003,M04,Additive,2.29,67.2,11.11,73.6,18-03-2023 08:20,18-03-2023 09:16,Null,Null,Failed,Low Efficiency,56,Null,Null
J004,M04,Grinding,1.76,127.2,12.5,76,18-03-2023 08:30,18-03-2023 10:16,18-03-2023 08:35,18-03-2023 10:21,Completed,Moderate Efficiency,106,106,0
J005,M01,Lathe,1.9,55.2,8.13,70.4,18-03-2023 08:40,18-03-2023 09:26,18-03-2023 08:42,18-03-2023 09:28,Completed,High Efficiency,46,46,0
J006,M02,Additive,4.86,100,13.83,86,18-03-2023 08:50,18-03-2023 10:30,18-03-2023 08:53,18-03-2023 10:33,Completed,Moderate Efficiency,100,100,0
J007,M04,Milling,4.67,26.4,14.2,69.6,18-03-2023 09:00,18-03-2023 09:22,18-03-2023 09:04,18-03-2023 09:26,Completed,Moderate Efficiency,22,22,0
J008,M05,Grinding,1.57,79,13.86,91,18-03-2023 09:10,18-03-2023 10:29,18-03-2023 09:08,18-03-2023 10:27,Completed,Low Efficiency,79,79,0
J009,M02,Drilling,3.49,42,8.97,81,18-03-2023 09:20,18-03-2023 10:02,18-03-2023 09:23,18-03-2023 10:05,Completed,Moderate Efficiency,42,42,0
J010,M01,Drilling,2.1,32.4,3.66,77.6,18-03-2023 09:30,18-03-2023 09:57,18-03-2023 09:54,18-03-2023 10:21,Delayed,Low Efficiency,27,27,0
J011,M01,Lathe,3.02,78,9.98,72,18-03-2023 09:40,18-03-2023 10:45,18-03-2023 09:38,18-03-2023 10:43,Completed,Low Efficiency,65,65,0
J012,M03,Grinding,2.71,28,8.08,88,18-03-2023 09:50,18-03-2023 10:18,18-03-2023 10:15,18-03-2023 10:43,Delayed,Low Efficiency,28,28,0
J013,M03,Lathe,3.1,43,5.55,95,18-03-2023 10:00,18-03-2023 10:43,18-03-2023 10:05,18-03-2023 10:48,Completed,High Efficiency,43,43,0
J014,M04,Additive,2.33,134.4,2.01,76,18-03-2023 10:10,18-03-2023 12:02,18-03-2023 10:10,18-03-2023 12:02,Completed,Optimal Efficiency,112,112,0
J015,M05,Additive,3.92,104,3.67,98,18-03-2023 10:20,18-03-2023 12:04,18-03-2023 10:24,18-03-2023 12:08,Completed,High Efficiency,104,104,0
J016,M01,Additive,2.09,78,12.29,76.8,18-03-2023 10:30,18-03-2023 11:35,18-03-2023 10:28,18-03-2023 11:33,Completed,Low Efficiency,65,65,0
J017,M03,Lathe,4.3,115,9.44,80,18-03-2023 10:40,18-03-2023 12:35,18-03-2023 10:37,18-03-2023 12:32,Completed,Low Efficiency,115,115,0
J018,M05,Lathe,2.25,55,10.95,94,18-03-2023 10:50,18-03-2023 11:45,18-03-2023 10:48,18-03-2023 11:43,Completed,Low Efficiency,55,55,0
J019,M02,Milling,4.62,52,3.27,82,18-03-2023 11:00,18-03-2023 11:52,18-03-2023 10:58,18-03-2023 11:50,Completed,Low Efficiency,52,52,0
J020,M05,Lathe,1.39,42,14.19,91,18-03-2023 11:10,18-03-2023 11:52,18-03-2023 11:15,18-03-2023 11:57,Completed,Moderate Efficiency,42,42,0
J021,M02,Milling,3.95,107,13.73,83,18-03-2023 11:20,18-03-2023 13:07,18-03-2023 11:15,18-03-2023 13:02,Completed,Low Efficiency,107,107,0
J022,M03,Additive,3.3,64,4.14,93,18-03-2023 11:30,18-03-2023 12:34,18-03-2023 11:44,18-03-2023 12:48,Delayed,Low Efficiency,64,64,0
J023,M01,Drilling,4.86,117.6,13.49,71.2,18-03-2023 11:40,18-03-2023 13:18,18-03-2023 11:35,18-03-2023 13:13,Completed,Low Efficiency,98,98,0
J024,M02,Grinding,1.84,84,8.81,98,18-03-2023 11:50,18-03-2023 13:14,18-03-2023 12:13,18-03-2023 13:37,Delayed,Low Efficiency,84,84,0
J025,M04,Lathe,1.84,142.8,5.1,65.6,18-03-2023 12:00,18-03-2023 13:59,Null,Null,Failed,Low Efficiency,119,Null,Null
J026,M01,Additive,1.14,25.2,3.89,77.6,18-03-2023 12:10,18-03-2023 12:31,18-03-2023 12:10,18-03-2023 12:31,Completed,High Efficiency,21,21,0
J027,M03,Lathe,4.03,87,11.34,80,18-03-2023 12:20,18-03-2023 13:47,Null,Null,Failed,Low Efficiency,87,Null,Null
J028,M03,Milling,3.21,93,4.16,98,18-03-2023 12:30,18-03-2023 14:03,18-03-2023 12:28,18-03-2023 14:01,Completed,Low Efficiency,93,93,0
J029,M02,Milling,3.47,116,5.39,91,18-03-2023 12:40,18-03-2023 14:36,18-03-2023 12:39,18-03-2023 14:35,Completed,Low Efficiency,116,116,0
J030,M05,Grinding,4.62,66,10.36,89,18-03-2023 12:50,18-03-2023 13:56,18-03-2023 12:51,18-03-2023 13:57,Completed,Moderate Efficiency,66,66,0
J031,M03,Grinding,1.7,37,3.21,96,18-03-2023 13:00,18-03-2023 13:37,18-03-2023 13:02,18-03-2023 13:39,Completed,High Efficiency,37,37,0
J032,M03,Drilling,3.02,78,4.93,80,18-03-2023 13:10,18-03-2023 14:28,18-03-2023 13:13,18-03-2023 14:31,Completed,High Efficiency,78,78,0
J033,M04,Lathe,3.7,123.6,8.02,64,18-03-2023 13:20,18-03-2023 15:03,18-03-2023 13:33,18-03-2023 15:16,Delayed,Low Efficiency,103,103,0
J034,M01,Grinding,1.47,132,12.52,68.8,18-03-2023 13:30,18-03-2023 15:20,18-03-2023 13:54,18-03-2023 15:44,Delayed,Low Efficiency,110,110,0
J035,M02,Drilling,2.05,47,12.12,82,18-03-2023 13:40,18-03-2023 14:27,18-03-2023 13:41,18-03-2023 14:28,Completed,Moderate Efficiency,47,47,0
J036,M04,Additive,1.76,118.8,4.72,76.8,18-03-2023 13:50,18-03-2023 15:29,18-03-2023 13:47,18-03-2023 15:26,Completed,Low Efficiency,99,99,0
J037,M01,Milling,4.6,94.8,13.17,70.4,18-03-2023 14:00,18-03-2023 15:19,18-03-2023 14:02,18-03-2023 15:21,Completed,Moderate Efficiency,79,79,0
J038,M01,Grinding,4.77,51.6,4.98,75.2,18-03-2023 14:10,18-03-2023 14:53,18-03-2023 14:10,18-03-2023 14:53,Completed,High Efficiency,43,43,0
J039,M02,Drilling,4.06,48,10.65,86,18-03-2023 14:20,18-03-2023 15:08,Null,Null,Failed,Low Efficiency,48,Null,Null
J040,M01,Lathe,2.29,60,9.94,77.6,18-03-2023 14:30,18-03-2023 15:20,18-03-2023 14:29,18-03-2023 15:19,Completed,Low Efficiency,50,50,0
J041,M04,Milling,1.15,105.6,11.64,65.6,18-03-2023 14:40,18-03-2023 16:08,18-03-2023 14:43,18-03-2023 16:11,Completed,Moderate Efficiency,88,88,0
J042,M04,Additive,1.55,57.6,13.57,76,18-03-2023 14:50,18-03-2023 15:38,18-03-2023 14:47,18-03-2023 15:35,Completed,Low Efficiency,48,48,0
J043,M03,Additive,4.84,75,4.53,87,18-03-2023 15:00,18-03-2023 16:15,18-03-2023 15:01,18-03-2023 16:16,Completed,High Efficiency,75,75,0
J044,M02,Lathe,1.82,109,5.67,93,18-03-2023 15:10,18-03-2023 16:59,18-03-2023 15:05,18-03-2023 16:54,Completed,Low Efficiency,109,109,0
J045,M02,Milling,3.52,78,3.03,91,18-03-2023 15:20,18-03-2023 16:38,18-03-2023 15:25,18-03-2023 16:43,Completed,High Efficiency,78,78,0
J046,M03,Milling,4.52,30,7.15,85,18-03-2023 15:30,18-03-2023 16:00,18-03-2023 15:54,18-03-2023 16:24,Delayed,Low Efficiency,30,30,0
J047,M02,Drilling,1.9,25,10.09,85,18-03-2023 15:40,18-03-2023 16:05,18-03-2023 15:44,18-03-2023 16:09,Completed,Moderate Efficiency,25,25,0
J048,M02,Lathe,3.67,75,4.12,99,18-03-2023 15:50,18-03-2023 17:05,18-03-2023 15:47,18-03-2023 17:02,Completed,Low Efficiency,75,75,0
