Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category,Planned_Time,Actual_Run_Time,Downtime
J001,M01,Grinding,3.17,91.2,11.42,76.80000000000001,2023-03-18 08:00:00,2023-03-18 09:16:00,2023-03-18 08:05:00,2023-03-18 09:21:00,Completed,Moderate Efficiency,76.0,76.0,0.0
J002,M01,Grinding,3.35,94.8,6.61,67.2,2023-03-18 08:10:00,2023-03-18 09:29:00,2023-03-18 08:20:00,2023-03-18 09:39:00,Delayed,Low Efficiency,79.0,79.0,0.0
J003,M04,Additive,2.29,67.2,11.11,73.60000000000001,2023-03-18 08:20:00,2023-03-18 09:16:00,,,Failed,Low Efficiency,56.0,,
J004,M04,Grinding,1.76,127.19999999999999,12.5,76.0,2023-03-18 08:30:00,2023-03-18 10:16:00,2023-03-18 08:35:00,2023-03-18 10:21:00,Completed,Moderate Efficiency,106.0,106.0,0.0
J005,M01,Lathe,1.9,55.199999999999996,8.13,70.4,2023-03-18 08:40:00,2023-03-18 09:26:00,2023-03-18 08:42:00,2023-03-18 09:28:00,Completed,High Efficiency,46.0,46.0,0.0
J006,M02,Additive,4.86,100.0,13.83,86.0,2023-03-18 08:50:00,2023-03-18 10:30:00,2023-03-18 08:53:00,2023-03-18 10:33:00,Completed,Moderate Efficiency,100.0,100.0,0.0
J007,M04,Milling,4.67,26.4,14.2,69.60000000000001,2023-03-18 09:00:00,2023-03-18 09:22:00,2023-03-18 09:04:00,2023-03-18 09:26:00,Completed,Moderate Efficiency,22.0,22.0,0.0
J008,M05,Grinding,1.57,79.0,13.86,91.0,2023-03-18 09:10:00,2023-03-18 10:29:00,2023-03-18 09:08:00,2023-03-18 10:27:00,Completed,Low Efficiency,79.0,79.0,0.0
J009,M02,Drilling,3.49,42.0,8.97,81.0,2023-03-18 09:20:00,2023-03-18 10:02:00,2023-03-18 09:23:00,2023-03-18 10:05:00,Completed,Moderate Efficiency,42.0,42.0,0.0
J010,M01,Drilling,2.1,32.4,3.66,77.60000000000001,2023-03-18 09:30:00,2023-03-18 09:57:00,2023-03-18 09:54:00,2023-03-18 10:21:00,Delayed,Low Efficiency,27.0,27.0,0.0
J011,M01,Lathe,3.02,78.0,9.98,72.0,2023-03-18 09:40:00,2023-03-18 10:45:00,2023-03-18 09:38:00,2023-03-18 10:43:00,Completed,Low Efficiency,65.0,65.0,0.0
J012,M03,Grinding,2.71,28.0,8.08,88.0,2023-03-18 09:50:00,2023-03-18 10:18:00,2023-03-18 10:15:00,2023-03-18 10:43:00,Delayed,Low Efficiency,28.0,28.0,0.0
J013,M03,Lathe,3.1,43.0,5.55,95.0,2023-03-18 10:00:00,2023-03-18 10:43:00,2023-03-18 10:05:00,2023-03-18 10:48:00,Completed,High Efficiency,43.0,43.0,0.0
J014,M04,Additive,2.33,134.4,2.01,76.0,2023-03-18 10:10:00,2023-03-18 12:02:00,2023-03-18 10:10:00,2023-03-18 12:02:00,Completed,Optimal Efficiency,112.0,112.0,0.0
J015,M05,Additive,3.92,104.0,3.67,98.0,2023-03-18 10:20:00,2023-03-18 12:04:00,2023-03-18 10:24:00,2023-03-18 12:08:00,Completed,High Efficiency,104.0,104.0,0.0
J016,M01,Additive,2.09,78.0,12.29,76.80000000000001,2023-03-18 10:30:00,2023-03-18 11:35:00,2023-03-18 10:28:00,2023-03-18 11:33:00,Completed,Low Efficiency,65.0,65.0,0.0
J017,M03,Lathe,4.3,115.0,9.44,80.0,2023-03-18 10:40:00,2023-03-18 12:35:00,2023-03-18 10:37:00,2023-03-18 12:32:00,Completed,Low Efficiency,115.0,115.0,0.0
J018,M05,Lathe,2.25,55.0,10.95,94.0,2023-03-18 10:50:00,2023-03-18 11:45:00,2023-03-18 10:48:00,2023-03-18 11:43:00,Completed,Low Efficiency,55.0,55.0,0.0
J019,M02,Milling,4.62,52.0,3.27,82.0,2023-03-18 11:00:00,2023-03-18 11:52:00,2023-03-18 10:58:00,2023-03-18 11:50:00,Completed,Low Efficiency,52.0,52.0,0.0
J020,M05,Lathe,1.39,42.0,14.19,91.0,2023-03-18 11:10:00,2023-03-18 11:52:00,2023-03-18 11:15:00,2023-03-18 11:57:00,Completed,Moderate Efficiency,42.0,42.0,0.0
J021,M02,Milling,3.95,107.0,13.73,83.0,2023-03-18 11:20:00,2023-03-18 13:07:00,2023-03-18 11:15:00,2023-03-18 13:02:00,Completed,Low Efficiency,107.0,107.0,0.0
J022,M03,Additive,3.3,64.0,4.14,93.0,2023-03-18 11:30:00,2023-03-18 12:34:00,2023-03-18 11:44:00,2023-03-18 12:48:00,Delayed,Low Efficiency,64.0,64.0,0.0
J023,M01,Drilling,4.86,117.6,13.49,71.2,2023-03-18 11:40:00,2023-03-18 13:18:00,2023-03-18 11:35:00,2023-03-18 13:13:00,Completed,Low Efficiency,98.0,98.0,0.0
J024,M02,Grinding,1.84,84.0,8.81,98.0,2023-03-18 11:50:00,2023-03-18 13:14:00,2023-03-18 12:13:00,2023-03-18 13:37:00,Delayed,Low Efficiency,84.0,84.0,0.0
J025,M04,Lathe,1.84,142.79999999999998,5.1,65.60000000000001,2023-03-18 12:00:00,2023-03-18 13:59:00,,,Failed,Low Efficiency,119.0,,
J026,M01,Additive,1.14,25.2,3.89,77.60000000000001,2023-03-18 12:10:00,2023-03-18 12:31:00,2023-03-18 12:10:00,2023-03-18 12:31:00,Completed,High Efficiency,21.0,21.0,0.0
J027,M03,Lathe,4.03,87.0,11.34,80.0,2023-03-18 12:20:00,2023-03-18 13:47:00,,,Failed,Low Efficiency,87.0,,
J028,M03,Milling,3.21,93.0,4.16,98.0,2023-03-18 12:30:00,2023-03-18 14:03:00,2023-03-18 12:28:00,2023-03-18 14:01:00,Completed,Low Efficiency,93.0,93.0,0.0
J029,M02,Milling,3.47,116.0,5.39,91.0,2023-03-18 12:40:00,2023-03-18 14:36:00,2023-03-18 12:39:00,2023-03-18 14:35:00,Completed,Low Efficiency,116.0,116.0,0.0
J030,M05,Grinding,4.62,66.0,10.36,89.0,2023-03-18 12:50:00,2023-03-18 13:56:00,2023-03-18 12:51:00,2023-03-18 13:57:00,Completed,Moderate Efficiency,66.0,66.0,0.0
J031,M03,Grinding,1.7,37.0,3.21,96.0,2023-03-18 13:00:00,2023-03-18 13:37:00,2023-03-18 13:02:00,2023-03-18 13:39:00,Completed,High Efficiency,37.0,37.0,0.0
J032,M03,Drilling,3.02,78.0,4.93,80.0,2023-03-18 13:10:00,2023-03-18 14:28:00,2023-03-18 13:13:00,2023-03-18 14:31:00,Completed,High Efficiency,78.0,78.0,0.0
J033,M04,Lathe,3.7,123.6,8.02,64.0,2023-03-18 13:20:00,2023-03-18 15:03:00,2023-03-18 13:33:00,2023-03-18 15:16:00,Delayed,Low Efficiency,103.0,103.0,0.0
J034,M01,Grinding,1.47,132.0,12.52,68.8,2023-03-18 13:30:00,2023-03-18 15:20:00,2023-03-18 13:54:00,2023-03-18 15:44:00,Delayed,Low Efficiency,110.0,110.0,0.0
J035,M02,Drilling,2.05,47.0,12.12,82.0,2023-03-18 13:40:00,2023-03-18 14:27:00,2023-03-18 13:41:00,2023-03-18 14:28:00,Completed,Moderate Efficiency,47.0,47.0,0.0
J036,M04,Additive,1.76,118.8,4.72,76.80000000000001,2023-03-18 13:50:00,2023-03-18 15:29:00,2023-03-18 13:47:00,2023-03-18 15:26:00,Completed,Low Efficiency,99.0,99.0,0.0
J037,M01,Milling,4.6,94.8,13.17,70.4,2023-03-18 14:00:00,2023-03-18 15:19:00,2023-03-18 14:02:00,2023-03-18 15:21:00,Completed,Moderate Efficiency,79.0,79.0,0.0
J038,M01,Grinding,4.77,51.6,4.98,75.2,2023-03-18 14:10:00,2023-03-18 14:53:00,2023-03-18 14:10:00,2023-03-18 14:53:00,Completed,High Efficiency,43.0,43.0,0.0
J039,M02,Drilling,4.06,48.0,10.65,86.0,2023-03-18 14:20:00,2023-03-18 15:08:00,,,Failed,Low Efficiency,48.0,,
J040,M01,Lathe,2.29,60.0,9.94,77.60000000000001,2023-03-18 14:30:00,2023-03-18 15:20:00,2023-03-18 14:29:00,2023-03-18 15:19:00,Completed,Low Efficiency,50.0,50.0,0.0
J041,M04,Milling,1.15,105.6,11.64,65.60000000000001,2023-03-18 14:40:00,2023-03-18 16:08:00,2023-03-18 14:43:00,2023-03-18 16:11:00,Completed,Moderate Efficiency,88.0,88.0,0.0
J042,M04,Additive,1.55,57.599999999999994,13.57,76.0,2023-03-18 14:50:00,2023-03-18 15:38:00,2023-03-18 14:47:00,2023-03-18 15:35:00,Completed,Low Efficiency,48.0,48.0,0.0
J043,M03,Additive,4.84,75.0,4.53,87.0,2023-03-18 15:00:00,2023-03-18 16:15:00,2023-03-18 15:01:00,2023-03-18 16:16:00,Completed,High Efficiency,75.0,75.0,0.0
J044,M02,Lathe,1.82,109.0,5.67,93.0,2023-03-18 15:10:00,2023-03-18 16:59:00,2023-03-18 15:05:00,2023-03-18 16:54:00,Completed,Low Efficiency,109.0,109.0,0.0
J045,M02,Milling,3.52,78.0,3.03,91.0,2023-03-18 15:20:00,2023-03-18 16:38:00,2023-03-18 15:25:00,2023-03-18 16:43:00,Completed,High Efficiency,78.0,78.0,0.0
J046,M03,Milling,4.52,30.0,7.15,85.0,2023-03-18 15:30:00,2023-03-18 16:00:00,2023-03-18 15:54:00,2023-03-18 16:24:00,Delayed,Low Efficiency,30.0,30.0,0.0
J047,M02,Drilling,1.9,25.0,10.09,85.0,2023-03-18 15:40:00,2023-03-18 16:05:00,2023-03-18 15:44:00,2023-03-18 16:09:00,Completed,Moderate Efficiency,25.0,25.0,0.0
